,2025-05-04 22:47
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1746395252
localtime,2025-05-04 22:47
last_updated_epoch,1746395100
last_updated,2025-05-04 22:45
temp_c,8.4
temp_f,47.1
is_day,0
condition,"{'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}"
wind_mph,9.2
wind_kph,14.8
wind_degree,6
wind_dir,N
pressure_mb,1020.0
pressure_in,30.12
precip_mm,0.01
precip_in,0.0
humidity,66
cloud,25
feelslike_c,6.0
feelslike_f,42.7
windchill_c,3.7
windchill_f,38.7
heatindex_c,6.6
heatindex_f,43.9
dewpoint_c,2.2
dewpoint_f,35.9
vis_km,10.0
vis_miles,6.0
uv,0.0
gust_mph,13.7
gust_kph,22.0
air_quality,"{'co': 294.15, 'no2': 13.135, 'o3': 73.0, 'so2': 2.775, 'pm2_5': 7.77, 'pm10': 14.06, 'us-epa-index': 1, 'gb-defra-index': 1}"
